time,open,high,low,close,volume
2022-01-04,21.34,22.26,21.25,22.17,15555915
2022-01-05,22.26,22.63,21.89,22.08,9969719
2022-01-06,22.08,22.54,21.71,22.26,12958863
2022-01-07,22.54,22.82,22.26,22.45,10553724
2022-01-10,22.54,22.54,21.25,21.43,14213978
2022-01-11,21.52,21.71,21.06,21.25,7801512
2022-01-12,21.43,22.45,21.34,21.99,11893696
2022-01-13,21.99,22.54,21.25,21.62,9549314
2022-01-14,21.62,21.8,21.15,21.43,6121286
2022-01-17,21.62,22.36,21.25,21.34,10908283
2022-01-18,21.71,22.08,21.15,21.71,9612727
2022-01-19,21.89,22.45,21.62,21.62,6714611
2022-01-20,21.89,21.99,21.43,21.99,5311338
2022-01-21,21.89,23.46,21.71,23.09,31997188
2022-01-24,22.63,23.37,22.45,22.72,11111253
2022-01-25,22.72,23.28,22.17,23.09,10520211
2022-01-26,23.09,23.83,23.09,23.46,11673463
2022-01-27,23.74,24.2,23.28,23.56,9223629
2022-01-28,23.56,23.93,22.26,22.63,19954490
2022-02-07,23.28,25.22,23.28,24.94,18637487
2022-02-08,24.94,25.03,24.39,24.48,8356156
2022-02-09,24.66,24.94,24.11,24.39,10015356
2022-02-10,24.48,25.31,24.29,25.22,14873272
2022-02-11,25.22,25.96,25.03,25.13,16051404
2022-02-14,25.4,26.14,25.31,25.4,16643209
2022-02-15,25.4,25.59,24.57,24.76,16439501
2022-02-16,24.48,24.57,23.83,24.39,19905304
2022-02-17,24.39,24.57,24.02,24.39,6490954
2022-02-18,24.39,24.48,23.93,24.39,7395764
2022-02-21,25.13,26.14,24.02,24.29,9780847
2022-02-22,24.66,24.94,24.39,24.76,12285818
2022-02-23,24.76,26.33,24.57,25.77,23699031
2022-02-24,25.77,27.16,25.31,26.33,24652888
2022-02-25,26.7,26.7,25.31,25.4,14183226
2022-02-28,25.68,26.14,25.4,25.87,13517462
2022-03-01,26.14,26.14,25.4,25.77,11802280
2022-03-02,26.14,27.16,26.14,26.42,14740807
2022-03-03,26.42,26.88,25.77,26.23,15277424
2022-03-04,26.05,26.33,25.59,25.68,10994091
2022-03-07,26.7,27.62,26.23,27.25,23418671
2022-03-08,27.25,27.25,26.05,26.23,13649299
2022-03-09,26.51,27.34,26.14,26.88,14684551
2022-03-10,26.79,26.79,24.57,26.33,14676011
2022-03-11,26.51,27.25,25.22,25.5,14702994
2022-03-14,25.5,25.68,23.74,23.83,23003507
2022-03-15,23.83,23.93,23.0,23.74,12126250
2022-03-16,23.65,23.93,23.37,23.93,5338174
2022-03-17,23.93,24.02,23.37,23.74,5255199
2022-03-18,23.83,24.57,23.74,24.39,7200257
2022-03-21,24.39,24.76,24.2,24.76,7017278
2022-03-22,24.76,25.31,24.76,24.94,6219098
2022-03-23,25.03,25.13,24.57,24.76,6804355
2022-03-24,24.94,25.31,24.85,24.94,4240449
2022-03-25,24.94,24.94,24.57,24.66,4411074
2022-03-28,24.66,24.94,24.39,24.94,7069187
2022-03-29,24.57,25.13,24.48,24.94,6306835
2022-03-30,24.85,25.03,24.29,24.57,7108343
2022-03-31,24.57,24.66,24.02,24.11,4698248
2022-04-01,24.11,24.29,23.65,24.02,5757805
2022-04-04,24.02,24.57,24.02,24.2,4510225
2022-04-05,24.39,25.03,24.39,24.76,7338788
2022-04-06,24.76,24.76,24.39,24.76,3565178
2022-04-07,24.76,25.22,24.29,24.94,8190025
2022-04-08,24.85,24.94,24.29,24.39,5900162
2022-04-12,24.39,24.57,23.09,23.28,7464474
2022-04-13,23.74,23.83,23.09,23.74,3972320
2022-04-14,23.93,24.11,23.56,23.83,2529434
2022-04-15,23.65,24.29,23.65,23.83,4614769
2022-04-18,23.83,24.2,23.28,23.37,5389592
2022-04-19,23.37,23.93,23.09,23.46,4969974
2022-04-20,23.56,23.56,21.15,21.62,11863335
2022-04-21,22.08,22.17,19.49,20.42,9745407
