time,open,high,low,close,volume
2022-01-04,74.05,74.22,73.63,73.63,1885600
2022-01-05,73.71,73.88,73.03,73.2,3124600
2022-01-06,73.12,73.12,72.44,72.53,2848200
2022-01-07,72.44,72.69,72.19,72.36,2553900
2022-01-10,73.22,73.39,72.09,72.27,2146400
2022-01-11,72.18,72.53,72.09,72.27,1829000
2022-01-12,72.35,72.35,71.4,71.75,2183600
2022-01-13,72.01,72.27,71.58,71.75,1711600
2022-01-14,71.75,73.48,71.4,73.13,2516600
2022-01-17,73.39,73.39,71.58,71.58,2100400
2022-01-18,71.58,72.09,71.32,72.01,2100400
2022-01-19,71.58,72.09,71.4,72.01,1764900
2022-01-20,71.66,71.92,71.58,71.66,1488400
2022-01-21,71.66,71.92,71.23,71.32,1576400
2022-01-24,71.32,71.4,69.94,69.94,2222200
2022-01-25,69.5,69.94,68.29,68.38,3758600
2022-01-26,68.47,69.5,68.47,68.81,1452100
2022-01-27,69.16,72.01,69.16,71.75,2039000
2022-01-28,71.66,72.7,71.49,71.75,2257400
2022-02-07,71.83,72.53,71.58,72.09,1324200
2022-02-08,72.01,72.09,70.8,70.8,2708900
2022-02-09,70.8,72.27,70.8,71.49,1799300
2022-02-10,71.49,71.92,71.06,71.4,1612500
2022-02-11,71.23,71.32,70.71,70.8,1624600
2022-02-14,70.37,70.8,69.94,70.02,2971800
2022-02-15,70.02,70.37,69.94,70.11,1465300
2022-02-16,70.11,70.19,69.33,69.42,2825100
2022-02-17,69.5,70.11,69.42,69.76,1787700
2022-02-18,69.16,69.76,69.16,69.59,1808100
2022-02-21,69.85,70.45,69.85,69.94,1280600
2022-02-22,69.85,69.94,68.81,69.07,3204500
2022-02-23,69.07,69.5,68.9,69.07,2200300
2022-02-24,69.07,69.07,67.78,67.86,2723500
2022-02-25,68.21,68.64,68.12,68.12,1347700
2022-02-28,68.12,68.21,67.17,67.69,2258900
2022-03-01,67.69,68.55,67.52,68.38,1273100
2022-03-02,68.38,68.38,67.35,67.78,2037100
2022-03-03,67.95,68.21,67.52,67.69,1486600
2022-03-04,67.69,67.69,67.17,67.26,2511600
2022-03-07,67.26,67.26,66.22,66.31,3530800
2022-03-08,65.88,66.05,65.62,65.7,2383000
2022-03-09,65.62,66.31,64.75,64.84,3003700
2022-03-10,65.62,67.26,65.62,66.57,2971800
2022-03-11,66.65,67.78,66.57,67.35,2322900
2022-03-14,67.35,67.35,66.4,66.65,1654700
2022-03-15,66.48,66.91,65.88,66.65,1482600
2022-03-16,66.65,67.35,66.48,66.74,1850400
2022-03-17,67.0,67.17,65.96,65.96,1354400
2022-03-18,66.14,66.48,65.62,65.62,4233000
2022-03-21,65.62,67.26,65.62,67.0,1884100
2022-03-22,67.26,67.26,66.31,66.4,2390200
2022-03-23,66.31,66.48,65.53,65.7,3226000
2022-03-24,65.62,65.7,64.93,65.27,3389800
2022-03-25,65.27,65.45,64.84,64.93,2699500
2022-03-28,65.01,65.27,63.37,63.37,4038700
2022-03-29,63.46,65.19,63.46,65.19,2139300
2022-03-30,65.19,66.14,64.84,65.79,3413800
2022-03-31,65.79,69.94,65.62,69.85,9645800
2022-04-01,69.94,71.4,69.33,70.54,6112000
2022-04-04,70.8,71.23,70.37,70.97,3808700
2022-04-05,70.63,70.63,69.42,69.42,2202100
2022-04-06,69.07,70.11,68.29,68.47,4306700
2022-04-07,68.99,69.07,67.78,67.78,1760300
2022-04-08,67.78,68.29,66.74,66.74,2738300
2022-04-12,66.74,67.17,66.05,66.31,1776300
2022-04-13,66.31,67.78,66.22,66.65,2118800
2022-04-14,66.91,67.35,65.88,65.88,1810200
2022-04-15,66.05,67.0,65.62,66.05,1362400
2022-04-18,66.05,67.26,65.96,66.48,2564300
2022-04-19,66.57,67.09,65.62,65.62,1670200
2022-04-20,65.62,66.22,65.27,65.27,1931100
2022-04-21,65.01,66.05,64.75,64.75,4615600
2022-04-22,65.36,66.05,65.19,65.53,2800400
2022-04-25,65.62,65.88,63.03,63.46,2659800
2022-04-26,63.46,65.62,61.21,65.53,3883000
2022-04-27,64.93,65.45,63.63,64.75,1826000
2022-04-28,64.67,64.67,63.72,64.15,1911000
2022-04-29,64.24,64.75,63.89,64.06,1630100
2022-05-04,64.06,64.24,62.6,62.6,1763900
2022-05-05,63.2,63.2,61.73,62.25,1548200
2022-05-06,61.65,61.82,60.01,60.61,2109800
2022-05-09,60.61,61.73,60.09,60.44,2392100
2022-05-10,60.44,62.08,60.44,60.96,3106500
2022-05-11,60.96,61.39,60.01,60.01,1793700
2022-05-12,60.27,60.27,57.42,57.42,3189100
2022-05-13,57.85,58.54,56.9,57.07,4590600
2022-05-16,57.5,58.37,56.73,56.81,1977800
2022-05-17,56.64,60.44,56.29,60.44,2105100
2022-05-18,60.44,60.87,60.01,60.7,1983200
2022-05-19,60.01,60.44,59.57,59.57,1449400
2022-05-20,59.57,60.35,58.71,58.8,1296200
2022-05-23,59.14,59.32,57.16,57.24,2022200
2022-05-24,57.59,59.49,57.42,59.49,2033000
2022-05-25,59.49,62.42,59.49,62.08,2362100
2022-05-26,62.08,62.08,61.04,61.56,1530800
2022-05-27,61.56,63.29,61.04,63.03,3456900
2022-05-30,62.94,62.94,62.16,62.6,2124400
2022-05-31,62.25,62.51,61.91,61.91,2058700
2022-06-01,61.73,62.68,61.56,62.08,1229600
2022-06-02,62.16,62.16,61.13,61.39,1487800
2022-06-03,61.3,61.56,60.44,60.7,1052800
2022-06-06,60.61,61.47,60.44,61.13,1432000
2022-06-07,60.7,61.04,60.44,60.96,1322200
2022-06-08,61.04,61.65,61.04,61.3,1698600
2022-06-09,61.3,61.39,60.61,60.61,1045100
2022-06-10,60.44,60.61,60.01,60.01,1483300
2022-06-13,59.06,59.06,57.16,57.33,2379700
2022-06-14,56.55,58.28,56.47,57.07,1393200
2022-06-15,57.07,57.42,55.69,55.69,2680600
2022-06-16,56.21,58.97,56.12,58.71,2215500
2022-06-17,57.76,59.23,56.29,57.59,2502800
2022-06-20,57.33,60.18,57.33,59.57,2588200
2022-06-21,59.75,63.72,59.4,63.63,4839300
2022-06-22,63.11,63.37,60.96,60.96,2214000
2022-06-23,60.96,62.16,60.44,61.04,1103100
2022-06-24,61.3,62.94,61.21,61.73,1684400
2022-06-27,61.99,62.25,60.7,61.39,1804300
2022-06-28,60.96,62.77,60.52,61.13,3037200
2022-06-29,60.96,62.77,60.96,62.42,1941000
2022-06-30,62.42,64.58,62.34,62.34,3582600
2022-07-01,62.42,63.81,62.16,63.63,2859000
2022-07-04,63.89,65.45,63.72,64.84,3139300
2022-07-05,65.01,65.1,63.03,63.11,2590800
2022-07-06,63.43,63.87,62.09,63.16,2360100
2022-07-07,63.16,65.21,62.53,65.21,3049600
2022-07-08,65.21,65.48,64.77,65.21,1704200
2022-07-11,64.5,66.73,64.32,65.21,2556900
2022-07-12,65.21,66.02,64.86,65.48,976100
2022-07-13,65.39,65.75,64.68,64.77,1423500
2022-07-14,64.59,65.39,64.5,64.68,982300
2022-07-15,64.68,65.21,63.96,63.96,1475000
2022-07-18,64.32,64.5,63.87,64.05,1106700
2022-07-19,64.32,65.12,63.96,65.03,1530100
2022-07-20,65.39,65.75,65.03,65.21,1167800
2022-07-21,64.77,65.75,64.5,65.39,1720500
2022-07-22,65.39,65.39,64.32,64.32,712300
2022-07-25,64.32,65.12,64.14,65.12,1242600
