time,symbol,open,high,low,close,volume,ROE (%),ROA (%),P/E,P/B,EPS (VND),BVPS (VND)
2022-01-04,ACB,19.53,19.53,19.23,19.31,4555000,,,,,,
2022-01-05,ACB,19.28,19.28,18.89,18.92,5934500,,,,,,
2022-01-06,ACB,18.8,19.08,18.58,18.94,5673700,,,,,,
2022-01-07,ACB,19.03,19.06,18.69,18.69,3323800,,,,,,
2022-01-10,ACB,18.52,18.75,18.5,18.52,5693200,,,,,,
2022-01-11,ACB,18.52,18.55,18.36,18.38,6395100,,,,,,
2022-01-12,ACB,18.36,18.83,18.27,18.58,7789000,,,,,,
2022-01-13,ACB,18.89,19.23,18.61,18.72,6511900,,,,,,
2022-01-14,ACB,18.72,18.78,18.52,18.55,1941100,,,,,,
2022-01-17,ACB,18.58,18.89,18.38,18.38,7284700,,,,,,
2022-01-18,ACB,18.38,18.55,18.13,18.41,4272600,,,,,,
2022-01-19,ACB,18.41,18.69,18.41,18.52,2104000,,,,,,
2022-01-20,ACB,18.52,18.61,18.36,18.5,3415900,,,,,,
2022-01-21,ACB,18.5,19.08,18.47,18.78,4404000,,,,,,
2022-01-24,ACB,18.8,19.59,18.8,19.28,13185100,,,,,,
2022-01-25,ACB,19.28,19.67,19.28,19.56,4282700,,,,,,
2022-01-26,ACB,19.65,20.18,19.65,19.9,8494500,,,,,,
2022-01-27,ACB,19.87,19.87,19.39,19.59,6064400,,,,,,
2022-01-28,ACB,19.59,19.65,19.31,19.39,10258100,,,,,,
2022-02-07,ACB,19.65,19.73,19.45,19.48,4548000,,,,,,
2022-02-08,ACB,19.48,20.21,19.48,20.07,32461200,,,,,,
2022-02-09,ACB,20.15,20.18,19.93,19.98,10149700,,,,,,
2022-02-10,ACB,19.98,20.1,19.84,19.95,7632500,,,,,,
2022-02-11,ACB,19.81,20.4,19.79,20.04,9575200,,,,,,
2022-02-14,ACB,19.87,19.98,19.08,19.08,13153200,,,,,,
2022-02-15,ACB,19.11,19.37,19.08,19.37,6631900,,,,,,
2022-02-16,ACB,19.48,19.48,19.08,19.2,5099500,,,,,,
2022-02-17,ACB,19.17,19.34,19.14,19.25,3913100,,,,,,
2022-02-18,ACB,19.14,19.23,18.92,19.0,7318400,,,,,,
2022-02-21,ACB,19.03,19.31,18.83,19.31,7285100,,,,,,
2022-02-22,ACB,19.08,19.48,18.86,19.48,8094700,,,,,,
2022-02-23,ACB,19.53,19.7,19.42,19.42,5857600,,,,,,
2022-02-24,ACB,19.28,19.42,18.78,19.34,8892700,,,,,,
2022-02-25,ACB,19.37,19.51,19.25,19.28,5508400,,,,,,
2022-02-28,ACB,19.25,19.28,19.03,19.03,3857100,,,,,,
2022-03-01,ACB,19.08,19.08,18.83,19.0,5610900,,,,,,
2022-03-02,ACB,18.92,19.08,18.47,18.47,13881600,,,,,,
2022-03-03,ACB,18.52,18.78,18.47,18.78,8167100,,,,,,
2022-03-04,ACB,18.75,19.25,18.52,19.25,6925100,,,,,,
2022-03-07,ACB,18.8,18.97,18.61,18.66,4694500,,,,,,
2022-03-08,ACB,18.52,18.64,18.27,18.3,7221800,,,,,,
2022-03-09,ACB,18.38,18.5,18.19,18.36,4172000,,,,,,
2022-03-10,ACB,18.52,18.75,18.47,18.47,2199800,,,,,,
2022-03-11,ACB,18.41,18.5,18.3,18.36,2714900,,,,,,
2022-03-14,ACB,18.24,18.41,18.21,18.36,2724900,,,,,,
2022-03-15,ACB,18.41,18.61,18.36,18.41,2750200,,,,,,
2022-03-16,ACB,18.47,18.55,18.33,18.41,3294200,,,,,,
2022-03-17,ACB,18.61,18.64,18.41,18.41,2620300,,,,,,
2022-03-18,ACB,18.52,18.58,18.41,18.41,2597000,,,,,,
2022-03-21,ACB,18.47,18.52,18.36,18.5,3302500,,,,,,
2022-03-22,ACB,18.52,18.75,18.52,18.69,3324000,,,,,,
2022-03-23,ACB,18.64,18.75,18.61,18.64,2060000,,,,,,
2022-03-24,ACB,18.55,18.64,18.44,18.47,2873100,,,,,,
2022-03-25,ACB,18.47,18.61,18.36,18.36,3338200,,,,,,
2022-03-28,ACB,18.36,18.41,18.13,18.16,4875800,,,,,,
2022-03-29,ACB,18.21,18.33,18.13,18.16,3664900,,,,,,
2022-03-30,ACB,18.19,18.47,18.13,18.3,4154500,,,,,,
2022-03-31,ACB,18.36,18.64,18.3,18.55,5523400,,,,,,
2022-04-01,ACB,18.55,18.75,18.52,18.75,5865500,,,,,,
2022-04-04,ACB,18.86,18.92,18.75,18.8,4794400,,,,,,
2022-04-05,ACB,18.75,18.75,18.5,18.52,4508400,,,,,,
2022-04-06,ACB,18.44,18.69,18.38,18.64,4156600,,,,,,
2022-04-07,ACB,18.75,19.17,18.66,18.86,9648900,,,,,,
2022-04-08,ACB,18.92,19.08,18.89,19.0,8904400,,,,,,
2022-04-12,ACB,19.0,19.0,18.72,18.78,4923200,,,,,,
2022-04-13,ACB,18.8,19.0,18.69,18.89,5053900,,,,,,
2022-04-14,ACB,18.89,19.17,18.86,18.97,4900700,,,,,,
2022-04-15,ACB,18.97,19.08,18.78,18.83,5388100,,,,,,
2022-04-18,ACB,18.8,18.86,18.41,18.41,5946400,,,,,,
2022-04-19,ACB,18.3,18.41,17.74,17.77,5244400,,,,,,
2022-04-20,ACB,17.79,18.07,17.77,17.91,4490500,,,,,,
2022-04-21,ACB,17.96,18.24,17.68,17.68,5899800,,,,,,
2022-04-22,ACB,17.79,18.3,17.79,18.13,5188800,,,,,,
2022-04-25,ACB,18.13,18.21,17.12,17.12,8242600,,,,,,
2022-04-26,ACB,17.12,17.54,16.84,17.34,6106000,,,,,,
2022-04-27,ACB,17.23,17.51,17.01,17.34,2831800,,,,,,
2022-04-28,ACB,17.18,17.51,17.18,17.4,1503700,,,,,,
2022-04-29,ACB,17.4,18.36,17.26,18.36,4640900,,,,,,
2022-05-04,ACB,18.1,18.24,17.82,17.82,2060200,,,,,,
2022-05-05,ACB,18.13,18.13,17.57,17.79,3209000,,,,,,
2022-05-06,ACB,17.51,17.85,17.32,17.4,1920300,,,,,,
2022-05-09,ACB,17.4,17.4,16.67,17.18,5176200,,,,,,
2022-05-10,ACB,17.01,17.4,16.78,17.29,3850100,,,,,,
2022-05-11,ACB,17.29,17.74,17.18,17.74,2319300,,,,,,
2022-05-12,ACB,17.23,17.54,16.56,16.56,3128000,,,,,,
2022-05-13,ACB,16.78,17.01,15.44,15.44,6142600,,,,,,
2022-05-16,ACB,15.52,16.11,15.44,15.49,5137600,,,,,,
2022-05-17,ACB,15.49,16.47,15.44,16.42,2617900,,,,,,
2022-05-18,ACB,16.67,16.7,16.17,16.25,3521100,,,,,,
2022-05-19,ACB,15.94,16.28,15.77,16.05,1856400,,,,,,
2022-05-20,ACB,16.05,16.45,16.05,16.31,1936000,,,,,,
2022-05-23,ACB,16.33,16.45,15.89,15.97,1187500,,,,,,
2022-05-24,ACB,16.17,16.17,15.8,16.17,1574100,,,,,,
2022-05-25,ACB,16.17,16.84,16.17,16.84,3815600,,,,,,
2022-05-26,ACB,17.06,17.12,16.84,17.04,2690700,,,,,,
2022-05-27,ACB,17.29,17.85,17.18,17.85,4910800,,,,,,
2022-05-30,ACB,17.96,17.96,17.68,17.93,2244200,,,,,,
2022-05-31,ACB,17.79,17.85,17.68,17.71,2348500,,,,,,
2022-06-01,ACB,17.85,17.85,17.46,17.46,3523400,,,,,,
2022-06-02,ACB,17.96,18.21,17.79,17.79,3745600,,,,,,
2022-06-03,ACB,17.89,17.96,17.47,17.75,1409500,,,,,,
2022-06-06,ACB,17.75,17.93,17.68,17.75,1698800,,,,,,
2022-06-07,ACB,17.75,17.75,17.05,17.51,2255000,,,,,,
2022-06-08,ACB,17.47,18.03,17.3,18.03,4494800,,,,,,
2022-06-09,ACB,18.1,18.17,17.58,18.07,3388400,,,,,,
2022-06-10,ACB,17.68,18.1,17.65,17.68,2278300,,,,,,
2022-06-13,ACB,17.54,17.54,16.7,16.77,3830300,,,,,,
2022-06-14,ACB,16.77,17.16,16.49,16.91,2049600,,,,,,
2022-06-15,ACB,17.16,17.19,16.21,16.56,3633100,,,,,,
2022-06-16,ACB,16.56,16.91,16.56,16.91,1925600,,,,,,
2022-06-17,ACB,16.49,16.73,16.03,16.21,3160900,,,,,,
2022-06-20,ACB,16.21,16.49,16.0,16.07,3956000,,,,,,
2022-06-21,ACB,15.79,16.28,15.79,16.14,2676500,,,,,,
2022-06-22,ACB,16.28,16.77,16.28,16.66,2532000,,,,,,
2022-06-23,ACB,16.42,16.73,16.17,16.66,2140900,,,,,,
